First Name,Last Name,Gender,Job,Blood status,Valor
Michael,Corner,Male,Student,HalfBlood,Wisdom
Bloody,Baron,Male,Slytherin House Ghost,HalfBlood,Ambitious
Cuthbert,Binns,Male,Professor of History of Magic ,HalfBlood,Patience
Roger,Davies,Male,Student,HalfBlood,Courage
Edgar,Bones,Male,N/A,HalfBlood,Patience
Marietta,Edgecombe,Female,Student,HalfBlood,Wisdom
Alecto,Carrow,Female,Professor of Muggle Studies,HalfBlood,Just
Amycus,Carrow,Male,Professor of Dark Arts,HalfBlood,Patience
Seamus,Finnigan,Male,Student,HalfBlood,Bravery
Marcus,Flint,Male,Student,HalfBlood,Bravery
Antonin,Dolohov,Male,Death Eater,HalfBlood,Bravery
Albus,Dumbledore,Male,Headmaster,HalfBlood,Courage
Aberforth,Dumbledore,Male,Owner and Barman of the Hog's Head Inn,HalfBlood,Courage
Anthony,Goldstein,Male,Student,HalfBlood,Courage
Rose,Granger-Weasley,Female,Student,HalfBlood,Courage
Mundungus,Fletcher,Male,Dealer of wizarding artifacts,HalfBlood,Intelligence
Luna,Lovegood,Female,Student,HalfBlood,Nerve
Edward,Lupin,Male,Student,HalfBlood,Bravery
Graham,Montague,Male,Student,MuggleBorn,Nerve
Godric,Gryffindor,Male,Founder of Gryffindor,HalfBlood,Wisdom
Rubeus,Hagrid,Male,Keeper of Keys and Grounds | Professor of Care of Magical Creatures ,HalfBlood,Courage
Helga,Hufflepuff,Female,Founder of Hufflepuff,HalfBlood,Bravery
Pansy,Parkinson,Female,Student,HalfBlood,Intelligence
Hestia,Jones,Female,Advance Guard,HalfBlood,Courage
Igor,Karkaroff,Male,Headmaster of Durmstrang Institute,HalfBlood,Intelligence
Gilderoy,Lockhart,Male,Professor of Defence Against the Dark Arts(1992-1993),HalfBlood,Bravery
Padma,Patil,Female,Student,HalfBlood,Intelligence
Remus,Lupin,Male,Professor of Defence Against the Dark Arts ,HalfBlood,Bravery
Harry,Potter,Male,Student,HalfBlood,Nerve
Walden,Macnair,Male,Executioner for the Committee for the Disposal of Dangerous Creatures,HalfBlood,Patience
Minerva,McGonagall,Female,Professor of Transfiguration | Head of Gryffindor,HalfBlood,Nerve
Nicholas,Mimsy-Porpington,Male,Gryffindor House Ghost,HalfBlood,Bravery
Albus,Potter,Male,Student,HalfBlood,Courage
Garrick,Ollivander,Male,Wandmaker,HalfBlood,Patience
Tom,Riddle,Male,Student,HalfBlood,Ambitious
Angelina,Johnson,Female,Student,MuggleBorn,Ambitious
Peter,Pettigrew,Male,The Servant of Lord Voldemort,HalfBlood,Patience
Hannah,Abbott,Female,Student,MuggleBorn,Patience
Susan,Bones,Female,Student,MuggleBorn,Courage
James,Potter,Male,Harry Potter's father,HalfBlood,Wisdom
Quirinus,Quirrell,Male,Professor of Defence Against the Dark Arts(1991-1992),HalfBlood,Nerve
Helena,Ravenclaw,Female,Ravenclaw House Ghost,HalfBlood,Wisdom
Millicent,Bulstrode,Female,Student,MuggleBorn,Patience
Newton,Scamander,Male,Employee in the Beast Division of the Department for the Regulation and Control of Magical Creatures,HalfBlood,Patience
Horace,Slughorn,Male,Professor of Potions ,HalfBlood,Just
Severus,Snape,Male,Professor of Potions | Head of Slytherin,HalfBlood,Just
Pomona,Sprout,Female,Professor of Herbology | Head of Hufflepuff House,HalfBlood,Patience
Nymphadora,Tonks,Female,Auror,HalfBlood,Nerve
Sybill,Trelawney,Female,Professor of Divination,HalfBlood,Wisdom
Dolores,Umbridge,Female,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,HalfBlood,Bravery
Emmeline,Vance,Female,Advance Guard,HalfBlood,Courage
Penelope,Clearwater,Female,Student,MuggleBorn,Courage
Colin,Creevey,Male,Student,MuggleBorn,Ambitious
Dennis,Creevey,Male,Student,MuggleBorn,Courage
Petunia,Dursley,Female,N/A,MuggleBorn,Patience
Vernon,Dursley,Male,Director at Grunnings,MuggleBorn,Bravery
Dudley,Dursley,Male,N/A,MuggleBorn,Just
